country,region,year,planeDeaths
Ethiopia,Africa,1976,0
Fiji,Asia,1976,0
France,Europe,1976,0
Gabon,Africa,1976,0
Georgia,Europe,1976,0
Germany,Europe,1976,0
Greece,Europe,1976,0
Guatemala,Americas,1976,0
Haiti,Americas,1976,0
Honduras,Americas,1976,0
Hungary,Europe,1976,0
India,Asia,1976,0
Indonesia,Asia,1976,0
Iran,Asia,1976,0
Iraq,Asia,1976,0
Ireland,Europe,1976,0
Israel,Asia,1976,0
Italy,Europe,1976,0
Japan,Asia,1976,0
Jordan,Asia,1976,0
Kazakhstan,Asia,1976,0
Kenya,Africa,1976,0
Kyrgyz Republic,Asia,1976,0
Lao,Asia,1976,0
Libya,Africa,1976,0
Luxembourg,Europe,1976,0
"Macedonia, FYR",Europe,1976,0
Madagascar,Africa,1976,0
Malaysia,Asia,1976,0
Maldives,Asia,1976,0
Mali,Africa,1976,0
Mauritania,Africa,1976,0
Mauritius,Africa,1976,0
Mexico,Americas,1976,0
Mongolia,Asia,1976,0
Morocco,Africa,1976,0
Mozambique,Africa,1976,0
Myanmar,Asia,1976,0
Nepal,Asia,1976,0
Netherlands,Europe,1976,0
New Zealand,Asia,1976,0
Nicaragua,Americas,1976,0
Niger,Africa,1976,0
Nigeria,Africa,1976,0
North Korea,Asia,1976,0
Norway,Europe,1976,0
Pakistan,Asia,1976,0
Panama,Americas,1976,0
Papua New Guinea,Asia,1976,0
Paraguay,Americas,1976,0
Peru,Americas,1976,0
Philippines,Asia,1976,0
Poland,Europe,1976,0
Portugal,Europe,1976,0
Romania,Europe,1976,0
Russia,Europe,1976,0
Saudi Arabia,Asia,1976,0
Senegal,Africa,1976,0
Sierra Leone,Africa,1976,0
Somalia,Africa,1976,0
South Africa,Africa,1976,0
South Korea,Asia,1976,0
Spain,Europe,1976,0
Sri Lanka,Asia,1976,0
Sudan,Africa,1976,0
Suriname,Americas,1976,0
Sweden,Europe,1976,0
Switzerland,Europe,1976,0
Tajikistan,Asia,1976,0
Tanzania,Africa,1976,0
Thailand,Asia,1976,0
Tunisia,Africa,1976,0
Turkey,Europe,1976,0
Ukraine,Europe,1976,0
United Arab Emirates,Asia,1976,0
United Kingdom,Europe,1976,0
United States,Americas,1976,0
Uruguay,Americas,1976,0
Uzbekistan,Asia,1976,0
Venezuela,Americas,1976,0
Vietnam,Asia,1976,0
Yemen,Asia,1976,0
Zambia,Africa,1976,0
Afghanistan,Asia,1977,0
Algeria,Africa,1977,0
Angola,Africa,1977,0
Argentina,Americas,1977,0
Armenia,Europe,1977,0
Australia,Asia,1977,0
